Device,Device Name,Current,Device Image,OEM (brand),Battery Life (h),Device Online Listing,Processor,NPU,UPC,SKU,Barcode,Formfactor,Weight,Screen Size,Screen Type,Resolution,Build,Aspect Ratio,Screen Brightness (nits),Color Accuracy,Touchscreen?,Pen Compatibility?,Bluetooth Version,Storage,RAM/Memory,Network Card,Ports,Backlit Keyboard?,Keyboard size,MSRP,MicroSD Slot,Thunderbolt,HDMI,Security,Persona,Extra Features,About,Persona Extended,Basket Recommendations
Googlebook,Acer Googlebook 14,TRUE,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6447/6687176_sd.jpg;maxHeight=1080;maxWidth=900?format=webp,Acer,16,https://www.bestbuy.com/product/sku/6687176, Intel Core Ultra 5 325,,195133340878,6687176,,2in1,2.51 lbs,14”,OLED,2880 x 1800,"Nano ceramic, magnesium-alloy, Corning Gorilla Glass",16:10,500,100% DCI-P3,Yes,USI 2.0,,512GB SSD,16GB,Wi-Fi 7,"1x Thunderbolt 4, 2x USB C 3.2, 3.5mm audio jack",Yes,75%,,,Yes,No,Fingerprint Sensor,"Professional, Content Creator","MIL-STD 810H, TUV/Eyesafe 2.0 certification",,,
Googlebook,ASUS Googlebook 14,TRUE,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6447/6690085_sd.jpg;maxHeight=1080;maxWidth=900?format=webp,ASUS,16,https://www.bestbuy.com/product/sku/6690085, Intel Core Ultra 5 325,,199291685086,6690085,,Clamshell,2.2 lbs,14”,OLED,2880 x 1800,Aluminum and magnesium chassis,16:10,450,100% DCI-P3,Yes,No,,512GB SSD,,,"2x Thunderbolt 4, 2x USB A, 1x HDMI, 3.5mm audio jack",Yes,75%,,,Yes,Yes,Fingerprint Sensor,"Professional, Content Creator",,"Meet ASUS Googlebook 14, the first ASUS laptop designed for Gemini Intelligence. Powered by an Intel Core Ultra Series 3 processor and integrated with Gemini, this ultra-portable powerhouse packs elite performance into an ultrathin 0.43-inch, 2.18-lb chassis. Crafted from premium materials, it syncs seamlessly with your phone to elevate your everyday workflow.",,
Googlebook,Lenovo Googlebook 15,TRUE,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6447/6690181_sd.jpg;maxHeight=1080;maxWidth=900?format=webp,Lenovo,13,https://www.bestbuy.com/product/sku/6690181, Intel Core Ultra 5 325,,828132443232,6690181,,Clamshell,2.84 lbs,15.3”,OLED,2880 x 1800,Magnesium-aluminum alloy and Carbon Fiber chassis,16:10,500,,Yes,No,,512GB SSD,,,"2x Thunderbolt 4, 1x USB A, 1x HDMI, 3.5mm audio jack",Yes,75%,,,Yes,Yes,"Fingerprint Sensor, face authentication","Professional, Content Creator",,,,
Googlebook,Dell XPS Googlebook,TRUE,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6447/6687893_sd.jpg;maxHeight=1080;maxWidth=900?format=webp,Dell,18,https://www.bestbuy.com/product/sku/6687893,Snapdragon X Elite X1E-80-100,,884116650577,6687893,,Clamshell,2.2 lbs,"13.4""",LCD,2560 x 1600,CNC aluminum chassis with edge-to-edge glass,16:10,500,,Yes,No,,512GB SSD,,,2x USB C 3.2,Yes,75%,,,No,No,Fingerprint Sensor,"Professional, Content Creator",,"Our first XPS Googlebook combines Gemini Intelligence, iconic XPS design, seamless connectivity with your Android phone and Snapdragon X Elite performance. Razor-thin, featherlight¹ and built to keep you a step ahead in everything you do.",,
Googlebook,HP Googlebook 14,TRUE,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6447/6686332_sd.jpg;maxHeight=1080;maxWidth=900?format=webp,HP,19,https://www.bestbuy.com/product/sku/6686332,Snapdragon X Elite X1E-80-100,,826581898504,6686332,,Clamshell,2.75 lbs,14”,OLED,2880 x 1800,Aluminum chassis,16:10,500,100% DCI-P3,Yes,No,,512GB SSD,,,"2x USB-C, 3.5mm audio jack",Yes,75%,,,No,No,"Fingerprint Sensor, face authentication","Professional, Content Creator",HP Fast Charge,,,
Chromebook,Acer Chromebook 315,FALSE,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6447/6667575_sd.jpg;maxHeight=1080;maxWidth=900?format=webp,Acer,https://drive.google.com/drive/u/0/folders/1nDgMHSD0u-xzb9IWcrEUvASP-aJYUFdA,https://www.bestbuy.com/product/sku/6667575,MediaTek Kompanio 540,,195133340267,6667575,,,3.26 pounds,15.6 inches,LCD,1920 x 1080 (Full HD),,16:9,,,,,,,4 gigabytes,,"2 x USB-A 3.2, 2 x USB-C 3.2",,,,,No,Display connection via USB port,Cable lock slot,,,,,
Chromebook,Acer Chromebook 315,FALSE,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6447/6667579_sd.jpg;maxHeight=1080;maxWidth=900?format=webp,Acer,,https://www.bestbuy.com/product/sku/6667579,Intel Core Ultra 9 285K,,195133326179,6667579,,,3.26 pounds,15.6 inches,LCD,1920 x 1080 (Full HD),,16:9,,,,,,,4 gigabytes,,"2 x USB-A 3.2, 2 x USB-C 3.2",,,,,No,Display connection via USB port,Cable lock slot,,,,,
Chromebook,HP Chromebook 14,FALSE,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6447/6612977_sd.jpg;maxHeight=1080;maxWidth=900?format=webp,HP,,https://www.bestbuy.com/product/sku/6612977,Intel Celeron N4500,,198990262185,6612977,,,3.35 pounds,14 inches,LED,1366 x 768 (HD),,683:384,,,,,,,4 gigabytes,,"1 x USB-C 3.1, 2 x USB-A 3.0",,,,,No,1 x HDMI 1.4,,,,,,
Chromebook,Lenovo Chromebook 14,FALSE,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6447/6673811_sd.jpg;maxHeight=1080;maxWidth=900?format=webp,Lenovo,,https://www.bestbuy.com/product/sku/6673811,MediaTek Kompanio 540,,199273469864,6673811,,,2.99 pounds,14 inches,LCD,1920 x 1200 (WUXGA),,16:10,,,Yes,,,,4 gigabytes,,"2 x USB-A, 2 x USB-C, 0",,,,microSD,No,"Display connection via USB port, 1 x HDMI 1.4",Privacy camera,,,,,
Chromebook,Lenovo Chromebook 14,FALSE,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6447/6673809_sd.jpg;maxHeight=1080;maxWidth=900?format=webp,Lenovo,,https://www.bestbuy.com/product/sku/6673809,MediaTek Kompanio 540,,199273513024,6673809,,,2.99 pounds,14 inches,LCD,1920 x 1200 (WUXGA),,16:10,,,Yes,,,,8 gigabytes,,"2 x USB-A, 2 x USB-C, 0",,,,microSD,No,"Display connection via USB port, 1 x HDMI 1.4",Privacy camera,,,,,
