Device,Device Name,Current,Device Image,OEM (brand),Battery Life (h),Device Online Listing,Processor,NPU,UPC,SKU,Barcode,Formfactor,Weight,Screen Size,Screen Type,Resolution,Build,Aspect Ratio,Screen Brightness (nits),Color Accuracy,Touchscreen?,Pen Compatibility?,Bluetooth Version,Storage,RAM/Memory,Network Card,Ports,Backlit Keyboard?,Keyboard size,MSRP,MicroSD Slot,Thunderbolt,HDMI,Security,Persona,Extra Features,About,Persona Extended,Basket Recommendations
Googlebook,Acer Googlebook 14,TRUE,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6447/6690085_sd.jpg;maxHeight=1080;maxWidth=900?format=webp,Acer,16,https://www.bestbuy.com/product/sku/6690085," Intel Core Ultra 5 325",,195133340878,6690085,https://barcode.tec-it.com/barcode.ashx?data=195133340878&code=UPCA,2in1,2.51 lbs,14”,OLED,2880 x 1800,"Nano ceramic, magnesium-alloy, Corning Gorilla Glass",16:10,500,100% DCI-P3,Yes,USI 2.0,,512GB SSD,16GB,Wi-Fi 7,"1x Thunderbolt 4, 2x USB C 3.2, 3.5mm audio jack",Yes,75%,,,Yes,No,Fingerprint Sensor,"Professional, Content Creator","MIL-STD 810H, TUV/Eyesafe 2.0 certification","Acer Googlebook 14 – The Industry’s First Convertible Googlebook: Experience the new Acer Googlebook 14, where a brilliant 3K OLED touchscreen, refined convertible design, and long-lasting battery life come together in one beautifully crafted device. Designed for Gemini Intelligence, it provides personalized AI assistance that helps you create, organize, and accomplish more with ease. Point to anything on screen for contextual guidance or simply describe what you want to create and watch your ideas take shape in seconds, all while staying firmly in control of the experience.",,
Googlebook,ASUS Googlebook 14,TRUE,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6447/6686332_sd.jpg;maxHeight=1080;maxWidth=900?format=webp,ASUS,16,https://www.bestbuy.com/product/sku/6686332," Intel Core Ultra 5 325",,199291685086,6686332,https://barcode.tec-it.com/barcode.ashx?data=199291685086&code=UPCA,Clamshell,2.2 lbs,14”,OLED,2880 x 1800,Aluminum and magnesium chassis,16:10,450,100% DCI-P3,Yes,No,,512GB SSD,16GB,,"2x Thunderbolt 4, 2x USB A, 1x HDMI, 3.5mm audio jack",Yes,75%,,,Yes,Yes,Fingerprint Sensor,"Professional, Content Creator",,"Meet ASUS Googlebook 14, the first ASUS laptop designed for Gemini Intelligence. Powered by an Intel Core Ultra Series 3 processor and integrated with Gemini, this ultra-portable powerhouse packs elite performance into an ultrathin 0.43-inch, 2.18-lb chassis. Crafted from premium materials, it syncs seamlessly with your phone to elevate your everyday workflow.",,
Googlebook,Lenovo Googlebook 15,TRUE,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6447/6687176_sd.jpg;maxHeight=1080;maxWidth=900?format=webp,Lenovo,13,https://www.bestbuy.com/product/sku/6687176," Intel Core Ultra 5 325",,828132443232,6687176,https://barcode.tec-it.com/barcode.ashx?data=828132443232&code=UPCA,Clamshell,2.84 lbs,15.3”,OLED,2880 x 1800,Magnesium-aluminum alloy and Carbon Fiber chassis,16:10,500,,Yes,No,,512GB SSD,16GB,,"2x Thunderbolt 4, 1x USB A, 1x HDMI, 3.5mm audio jack",Yes,75%,,,Yes,Yes,"Fingerprint Sensor, face authentication","Professional, Content Creator",,"Smarter productivity, built right in. Built for modern lifestyles, Lenovo Googlebook 15 combines premium design with built-in Gemini Intelligence to help you stay organized, productive, and connected throughout the day. Seamlessly in sync with your Android phone, so you can switch tasks easily and access apps & files from your phone right from your laptop. The responsive haptic touchpad delivers a more intuitive experience, while the stunning OLED display and immersive quad-speaker system with Dolby Atmos bring creativity and entertainment to life. Whether you're tackling tasks, exploring ideas, or relaxing with your favorite content, this Googlebook is designed to feel less like a device and more like a natural extension of your everyday life.",,
Googlebook,Dell XPS Googlebook,TRUE,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6447/6690181_sd.jpg;maxHeight=1080;maxWidth=900?format=webp,Dell,18,https://www.bestbuy.com/product/sku/6690181,Snapdragon X Elite X1E-80-100,,884116650577,6690181,https://barcode.tec-it.com/barcode.ashx?data=884116650577&code=UPCA,Clamshell,2.2 lbs,"13.4""",LCD,2560 x 1600,CNC aluminum chassis with edge-to-edge glass,16:10,500,,Yes,No,,512GB SSD,16GB,,2x USB C 3.2,Yes,75%,,,No,No,Fingerprint Sensor,"Professional, Content Creator",,"Our first XPS Googlebook combines Gemini Intelligence, iconic XPS design, seamless connectivity with your Android phone and Snapdragon X Elite performance. Razor-thin, featherlight¹ and built to keep you a step ahead in everything you do.",,
Googlebook,HP Googlebook 14,TRUE,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6447/6687893_sd.jpg;maxHeight=1080;maxWidth=900?format=webp,HP,19,https://www.bestbuy.com/product/sku/6687893,Snapdragon X Elite X1E-80-100,,826581898504,6687893,https://barcode.tec-it.com/barcode.ashx?data=826581898504&code=UPCA,Clamshell,2.75 lbs,14”,OLED,2880 x 1800,Aluminum chassis,16:10,500,100% DCI-P3,Yes,No,,512GB SSD,16GB,,"2x USB-C, 3.5mm audio jack",Yes,75%,,,No,No,"Fingerprint Sensor, face authentication","Professional, Content Creator",HP Fast Charge,"The HP Googlebook 14 is a thin, lightweight laptop designed for Gemini Intelligence and seamless use with an Android phone. Its Snapdragon X Elite processor supports responsive everyday work, while the 14-inch design is suited to school, hybrid work, streaming, and staying productive on the go.",,
Chromebook,Acer Chromebook 315,FALSE,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6447/6667575_sd.jpg;maxHeight=1080;maxWidth=900?format=webp,Acer,,https://www.bestbuy.com/product/sku/6667575,MediaTek Kompanio 540,,195133340267,6667575,https://barcode.tec-it.com/barcode.ashx?data=195133340267&code=UPCA,,3.26 pounds,15.6 inches,LCD,1920 x 1080 (Full HD),,16:9,,,,,,,4 gigabytes,,"2 x USB-A 3.2, 2 x USB-C 3.2",,,,,No,Display connection via USB port,Cable lock slot,,,,,
Chromebook,Acer Chromebook 315,FALSE,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6447/6667579_sd.jpg;maxHeight=1080;maxWidth=900?format=webp,Acer,,https://www.bestbuy.com/product/sku/6667579,Intel Core Ultra 9 285K,,195133326179,6667579,https://barcode.tec-it.com/barcode.ashx?data=195133326179&code=UPCA,,3.26 pounds,15.6 inches,LCD,1920 x 1080 (Full HD),,16:9,,,,,,,4 gigabytes,,"2 x USB-A 3.2, 2 x USB-C 3.2",,,,,No,Display connection via USB port,Cable lock slot,,,,,
Chromebook,HP Chromebook 14,FALSE,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6447/6612977_sd.jpg;maxHeight=1080;maxWidth=900?format=webp,HP,,https://www.bestbuy.com/product/sku/6612977,Intel Celeron N4500,,198990262185,6612977,https://barcode.tec-it.com/barcode.ashx?data=198990262185&code=UPCA,,3.35 pounds,14 inches,LED,1366 x 768 (HD),,683:384,,,,,,,4 gigabytes,,"1 x USB-C 3.1, 2 x USB-A 3.0",,,,,No,1 x HDMI 1.4,,,,,,
Chromebook,Lenovo Chromebook 14,FALSE,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6447/6673811_sd.jpg;maxHeight=1080;maxWidth=900?format=webp,Lenovo,,https://www.bestbuy.com/product/sku/6673811,MediaTek Kompanio 540,,199273469864,6673811,https://barcode.tec-it.com/barcode.ashx?data=199273469864&code=UPCA,,2.99 pounds,14 inches,LCD,1920 x 1200 (WUXGA),,16:10,,,Yes,,,,4 gigabytes,,"2 x USB-A, 2 x USB-C, 0",,,,microSD,No,"Display connection via USB port, 1 x HDMI 1.4",Privacy camera,,,,,
Chromebook,Lenovo Chromebook 14,FALSE,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6447/6673809_sd.jpg;maxHeight=1080;maxWidth=900?format=webp,Lenovo,,https://www.bestbuy.com/product/sku/6673809,MediaTek Kompanio 540,,199273513024,6673809,https://barcode.tec-it.com/barcode.ashx?data=199273513024&code=UPCA,,2.99 pounds,14 inches,LCD,1920 x 1200 (WUXGA),,16:10,,,Yes,,,,8 gigabytes,,"2 x USB-A, 2 x USB-C, 0",,,,microSD,No,"Display connection via USB port, 1 x HDMI 1.4",Privacy camera,,,,,
